Temporada,Equipo,team_code,Salario,Salario Actualizado
2023/24,Los Angeles Lakers,LAL,47607350,47607350
2022/23,Los Angeles Lakers,LAL,44474988,45795529
2021/22,Los Angeles Lakers,LAL,41180544,46244900
2020/21,Los Angeles Lakers,LAL,39219566,46417307
2019/20,Los Angeles Lakers,LAL,37436858,44593536
2018/19,Los Angeles Lakers,LAL,35654150,43170146
2017/18,Cleveland Cavaliers,CLE,33285709,41459735
2016/17,Cleveland Cavaliers,CLE,30963450,39197185
2015/16,Cleveland Cavaliers,CLE,22970500,29368777
2014/15,Cleveland Cavaliers,CLE,20644400,26427427
2013/14,Miami Heat,MIA,19067500,24914630
2012/13,Miami Heat,MIA,17545000,23327453
2011/12,Miami Heat,MIA,16022500,21657653
2010/11,Miami Heat,MIA,14500000,20297205
2009/10,Cleveland Cavaliers,CLE,15779912,22321508
2008/09,Cleveland Cavaliers,CLE,14410581,20093677
2007/08,Cleveland Cavaliers,CLE,13041250,19097502
2006/07,Cleveland Cavaliers,CLE,5828090,8763936
2005/06,Cleveland Cavaliers,CLE,4621800,7250142
2004/05,Cleveland Cavaliers,CLE,4320360,6948764
2003/04,Cleveland Cavaliers,CLE,4018920,6675060
